LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716020164471156000,105,90.58823529411765,95,31,3967.75,9249.274865,250.0822197131,6.178793416177773,9.415499048877688,46.760122833333334,23.511406333333333,386.5,69.42,107.066,08:16:04+00:00,9,8,117,13.949999999999989,101.8
1716020164711624000,105,90.58823529411765,95,31,3967.75,9256.288515,250.5728747343,6.179676777690253,9.415499048877688,46.760122833333334,23.511406333333333,386.5,69.42,107.066,08:16:04+00:00,2,10,108,13.949999999999989,101.8
1716020164950519000,105,90.58823529411765,95,31,4031.75,9263.256286,251.0697477941,6.180603244733197,9.597602909767797,46.760213,23.511775166666666,386.6,70.77,107.886,08:16:05+00:00,10,12,123,13.949999999999989,101.8
1716020165191941000,105,93.33333333333334,95,31,4031.75,9270.297761,251.5870927399,6.1816186482578654,9.888439361578946,46.760213,23.511775166666666,386.6,70.77,107.886,08:16:05+00:00,6,11,130,13.949999999999989,101.8
1716020165431998000,105,93.33333333333334,93,31,4031.75,9277.299424,252.1015126173,6.182627759405426,9.888439361578946,46.760213,23.511775166666666,386.6,70.77,107.886,08:16:05+00:00,1,9,128,13.949999999999989,101.8
1716020165431998000,105,93.33333333333334,93,31,4031.75,9277.299424,252.1015126173,6.182627759405426,9.888439361578946,46.760213,23.511775166666666,386.6,70.77,107.886,08:16:05+00:00,3,9,107,13.949999999999989,101.8
1716020165671309000,105,93.33333333333334,93,31,4031.75,9284.279328,252.6143338859,6.183633187928261,9.888439361578946,46.760213,23.511775166666666,386.6,70.77,107.886,08:16:05+00:00,2,6,109,13.949999999999989,101.8
1716020165911927000,105,94.11764705882354,93,31,4031.75,9291.297353,253.1342888926,6.184666219580896,9.971535490667845,46.76029833333333,23.512148833333335,386.7,71.91,108.515,08:16:06+00:00,1,8,108,13.949999999999989,101.8
1716020166151891000,108,94.11764705882354,93,31,4031.75,9298.496273,253.6528306611,6.185647828187275,9.694548393961318,46.76029833333333,23.512148833333335,386.7,71.91,108.515,08:16:06+00:00,3,10,114,13.949999999999989,101.8
1716020166151891000,108,94.11764705882354,93,31,4031.75,9298.496273,253.6528306611,6.185647828187275,9.694548393961318,46.76029833333333,23.512148833333335,386.7,71.91,108.515,08:16:06+00:00,4,9,129,13.949999999999989,101.8
1716020166391573000,108,94.11764705882354,95,31,4031.75,9305.686733,254.1707630515,6.186627735298162,9.694548393961318,46.76029833333333,23.512148833333335,386.7,71.91,108.515,08:16:06+00:00,1,7,117,13.949999999999989,101.8
1716020166632451000,108,94.11764705882354,95,31,4031.75,9312.913073,254.6912798961,6.187611980838855,9.694548393961318,46.76029833333333,23.512148833333335,386.7,71.91,108.515,08:16:06+00:00,-5,7,106,13.949999999999989,101.8
1716020166632451000,108,94.11764705882354,95,31,4031.75,9312.913073,254.6912798961,6.187611980838855,9.694548393961318,46.760382166666666,23.512526833333332,386.4,72.25,109.645,08:16:07+00:00,2,7,122,13.949999999999989,101.8
1716020166931280000,108,93.33333333333334,95,31,4031.75,9321.877943,255.3316427164,6.18880414,9.613760490678306,46.760382166666666,23.512526833333332,386.4,72.25,109.645,08:16:07+00:00,7,12,142,13.949999999999989,101.8
1716020167171180000,108,93.33333333333334,95,30,4031.75,9329.074943,255.8457261573,6.189760605979463,9.613760490678306,46.760382166666666,23.512526833333332,386.4,72.25,109.645,08:16:07+00:00,-3,0,124,13.949999999999989,101.8
