LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716019725169321000,16.0,17.647058823529413,29,33,2559.75,2800.8535508333,157.1699692162,5.335093636964363,0.0,46.761214523772075,23.499123348926023,422.9,280.06,15.706,08:08:45+00:00,2,-8,137,13.949999999999989,101.8
1716019725409231000,15.0,17.647058823529413,29,33,2559.75,2801.8531758333,157.1699692162,5.334816508617939,0.0,46.761214523772075,23.499123348926023,422.9,280.06,15.706,08:08:45+00:00,13,-6,121,13.949999999999989,101.8
1716019725650390000,15.0,17.647058823529413,35,33,2559.75,2802.858005,157.2262196207,5.3349313498555695,7.534329353184972,46.761214523772075,23.499123348926023,422.9,280.06,15.706,08:08:45+00:00,3,-7,145,13.949999999999989,101.8
1716019725889201000,15.0,17.647058823529413,35,33,1471.75,2803.8530508333,157.2521375899,5.334836774219965,3.5056541402217913,46.761213505054535,23.4991231928946,423.1,281.4,13.303,08:08:46+00:00,14,-1,119,13.949999999999989,101.8
1716019726159310000,15.0,17.647058823529413,35,33,1471.75,2804.978505,157.2814523064,5.334729815512265,3.5056541402217913,46.761213505054535,23.4991231928946,423.1,281.4,13.303,08:08:46+00:00,10,-4,124,13.949999999999989,101.8
1716019726429636000,15.0,17.647058823529413,35,33,1471.75,2806.1048633333,157.3107905736,5.3346227833989905,3.5056541402217913,46.761213505054535,23.4991231928946,423.1,281.4,13.303,08:08:46+00:00,7,-7,132,13.949999999999989,101.8
1716019726670320000,15.0,17.647058823529413,56,33,1471.75,2807.1077133333,157.336911818,5.334527498196343,3.5056541402217913,46.761213505054535,23.4991231928946,423.1,281.4,13.303,08:08:46+00:00,-10,8,115,13.949999999999989,101.8
1716019726909221000,15.0,17.647058823529413,56,33,1663.75,2808.1031341667,157.3681575378,5.334470109503776,4.224691404890754,46.76121269329619,23.499123068561996,423.2,281.46,10.765,08:08:47+00:00,-7,13,115,13.949999999999989,101.8
1716019727150564000,15.0,34.11764705882353,56,33,1663.75,2809.10873,157.4291834124,5.334618105171287,8.167736716122121,46.76121269329619,23.499123068561996,423.2,281.46,10.765,08:08:47+00:00,1,4,142,13.949999999999989,101.8
1716019727389340000,11.0,34.11764705882353,56,33,1663.75,2809.8383233333,157.4895601965,5.334838028033156,11.137822767711205,46.76121269329619,23.499123068561996,423.2,281.46,10.765,08:08:47+00:00,21,8,125,13.949999999999989,101.8
1716019727629497000,11.0,34.11764705882353,81,33,1663.75,2810.5721363889,157.5502861797,5.335059206041832,11.137822767711205,46.76121269329619,23.499123068561996,423.2,281.46,10.765,08:08:47+00:00,2,13,132,13.949999999999989,101.8
1716019727869571000,11.0,34.11764705882353,81,33,1215.75,2811.3056958333,157.5872875193,5.335114593603866,6.788804733361061,46.761213071347186,23.49912312646601,423.4,283.83,11.829,08:08:48+00:00,2,16,140,13.949999999999989,101.8
1716019728110661000,11.0,54.90196078431373,81,33,1215.75,2812.0423597222,157.64708189,5.335328442195471,10.924513364029297,46.761213071347186,23.49912312646601,423.4,283.83,11.829,08:08:48+00:00,0,11,122,13.949999999999989,101.8
