TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693759227.451619,2870.0,27,0.0,0.0,20.784313725490197,38,8.627450980392158
1693759228.921277,2816.0,26,0.01,0.0,17.647058823529413,38,8.627450980392158
1693759230.361782,2711.0,28,0.0,0.0,17.647058823529413,38,8.627450980392158
1693759231.831265,2592.0,27,0.0,0.0,17.647058823529413,38,8.627450980392158
1693759233.271613,2367.0,27,0.0,0.0,17.647058823529413,38,8.627450980392158
1693759234.712095,1996.0,28,0.0,0.0,68.62745098039215,38,20.784313725490197
1693759236.242267,2980.0,76,0.415,10.9375,80.3921568627451,38,90.98039215686275
1693759237.681655,3718.0,93,0.095,3.125,90.19607843137256,38,8.627450980392158
1693759239.121821,3842.0,25,0.0,1.5625,78.03921568627452,37,90.98039215686275
1693759240.56156,2979.0,93,0.8,16.40625,82.3529411764706,37,90.98039215686275
1693759242.001548,3356.0,93,0.755,4.6875,87.45098039215686,37,41.568627450980394
1693759243.501483,3718.0,25,0.915,-6.25,17.647058823529413,36,11.764705882352942
1693759244.943681,2715.0,48,0.085,6.25,23.529411764705884,36,10.588235294117649
1693759246.441977,2640.0,29,0.065,0.0,17.647058823529413,36,15.294117647058824
1693759247.94265,2628.0,42,0.7,1.5625,20.784313725490197,36,15.294117647058824
1693759249.381777,2643.0,42,0.83,3.90625,20.784313725490197,36,15.294117647058824
1693759250.822181,2653.0,42,0.15,4.6875,20.784313725490197,36,15.294117647058824
1693759252.26215,2676.0,42,0.785,6.25,20.784313725490197,36,14.50980392156863
1693759253.762021,2690.0,31,0.885,0.78125,17.647058823529413,36,8.627450980392158
1693759255.230706,2641.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693759256.673724,2565.0,28,0.0,0.0,17.647058823529413,37,8.627450980392158
1693759258.204577,2479.0,27,0.0,0.0,17.647058823529413,37,8.627450980392158
1693759259.702137,2399.0,27,0.0,0.0,17.647058823529413,37,8.627450980392158
1693759261.174788,2267.0,26,0.0,0.0,17.647058823529413,37,8.627450980392158
1693759262.731879,1890.0,33,0.005,2.34375,17.647058823529413,37,8.627450980392158
1693759264.142728,1212.0,40,0.905,0.78125,17.647058823529413,37,8.627450980392158
1693759265.673874,1022.0,44,0.625,3.125,18.823529411764707,37,8.627450980392158
1693759267.142364,1007.0,45,0.205,2.34375,18.823529411764707,37,8.627450980392158
1693759268.581954,1003.0,45,0.07,1.5625,20.784313725490197,37,8.627450980392158
1693759270.021913,999.0,45,0.06,-0.78125,20.784313725490197,37,8.627450980392158
1693759271.522189,1028.0,44,0.79,-3.90625,22.35294117647059,37,8.627450980392158
1693759272.99259,1003.0,45,0.75,0.78125,18.823529411764707,37,8.627450980392158
1693759274.462493,979.0,45,0.105,2.34375,20.784313725490197,37,8.627450980392158
1693759275.874962,1002.0,45,0.105,-2.34375,23.529411764705884,37,8.627450980392158
