TIME,Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693757790.280185,2982.0,0.265,0.78125
1693757790.79038,2982.0,0.83,2.34375
1693757791.270027,2980.0,0.135,4.6875
1693757791.780082,2979.0,0.82,-0.78125
1693757792.259942,2969.0,0.365,1.5625
1693757792.739933,2960.0,0.085,0.78125
1693757793.220504,2953.0,0.83,0.78125
1693757793.730569,2955.0,0.13,2.34375
1693757794.210623,2949.0,0.45,-2.34375
1693757794.690947,2943.0,0.795,5.46875
1693757795.170411,2947.0,0.12,2.34375
1693757795.680651,2940.0,0.76,-1.5625
1693757796.190311,2939.0,0.81,0.78125
1693757796.669705,2925.0,0.185,3.125
1693757797.150072,2922.0,0.255,0.0
1693757797.62986,2915.0,0.805,-1.5625
1693757798.109991,2911.0,0.665,3.125
1693757798.619804,2901.0,0.105,0.0
1693757799.100779,2891.0,0.745,-3.125
1693757799.610436,2876.0,0.81,-0.78125
1693757800.1209,2871.0,0.395,1.5625
1693757800.63201,2862.0,0.315,-3.125
1693757801.110194,2851.0,0.805,-1.5625
1693757801.590297,2842.0,0.12,0.0
1693757802.070192,2831.0,0.32,0.0
1693757802.550208,2830.0,0.84,4.6875
1693757803.030252,2837.0,0.265,3.90625
1693757803.540211,2836.0,0.67,-3.125
1693757804.020227,2836.0,0.835,-3.125
1693757804.501046,2828.0,0.08,-1.5625
1693757805.011577,2813.0,0.9,-2.34375
1693757805.490793,2773.0,0.885,-7.03125
1693757805.970395,2765.0,0.025,0.0
1693757806.450309,2730.0,0.0,0.0
1693757806.960634,2706.0,0.0,0.0
1693757807.471406,2671.0,0.0,0.0
1693757807.950669,2645.0,0.0,0.0
1693757808.461177,2607.0,0.0,0.0
1693757808.941692,2558.0,0.0,0.0
1693757809.42094,2501.0,0.0,0.0
1693757809.930801,2429.0,0.0,0.0
1693757810.411988,2358.0,0.0,0.0
1693757810.920918,2287.0,0.0,0.0
1693757811.460501,2219.0,0.0,0.0
1693757811.940384,1994.0,0.92,2.34375
1693757812.420348,3345.0,0.0,0.0
1693757812.900506,2615.0,0.0,0.0
1693757813.38165,2597.0,0.0,0.0
1693757813.860896,2492.0,0.0,0.0
1693757814.340957,2395.0,0.0,0.0
1693757814.852186,2300.0,0.0,0.0
1693757815.361075,2209.0,0.0,0.0
1693757815.871426,2122.0,0.025,1.5625
1693757816.351537,3608.0,0.0,0.0
1693757816.832283,2838.0,0.0,0.0
1693757817.310627,2836.0,0.0,0.0
1693757817.791432,2742.0,0.0,0.0
1693757818.272009,2624.0,0.0,0.0
1693757818.780976,2439.0,0.0,0.0
1693757819.260788,2163.0,0.0,0.0
1693757819.740644,1832.0,0.0,0.0
1693757820.228582,1397.0,0.0,1.5625
1693757820.700623,1215.0,0.09,3.125
1693757821.180439,1252.0,0.865,0.0
1693757821.661188,1690.0,0.04,3.90625
1693757822.140535,1882.0,0.115,7.03125
1693757822.650309,1904.0,0.74,6.25
1693757823.130476,2049.0,0.1,7.03125
1693757823.610481,2213.0,0.86,6.25
1693757824.090462,2363.0,0.19,4.6875
1693757824.570846,2513.0,0.845,3.125
1693757825.0505,2639.0,0.78,-1.5625
1693757825.560613,2682.0,0.14,0.0
1693757826.040729,2705.0,0.085,0.78125
1693757826.550981,2723.0,0.385,6.25
1693757827.030593,2773.0,0.6,-0.78125
1693757827.51104,2815.0,0.815,0.78125
1693757827.990707,2864.0,0.125,4.6875
1693757828.500718,2952.0,0.09,5.46875
1693757828.981218,3044.0,0.895,2.34375
1693757829.461285,3109.0,0.885,-2.34375
1693757829.941266,2846.0,0.06,0.0
1693757830.481737,2019.0,0.0,0.0
1693757830.961237,2017.0,0.035,3.125
1693757831.441239,1938.0,0.8,0.0
1693757831.951495,2041.0,0.08,4.6875
1693757832.430822,2118.0,0.57,9.375
1693757832.911139,2203.0,0.205,6.25
1693757833.391251,2302.0,0.81,4.6875
1693757833.87106,2411.0,0.675,10.9375
1693757834.411229,2527.0,0.095,9.375
1693757834.891123,2639.0,0.82,7.8125
1693757835.37114,2737.0,0.145,9.375
1693757835.850913,2851.0,0.785,3.90625
1693757836.330622,2945.0,0.56,7.03125
1693757836.811246,3046.0,0.31,2.34375
1693757837.290707,3154.0,0.92,1.5625
1693757837.800719,3240.0,0.905,-3.90625
1693757838.28059,2904.0,0.01,0.0
1693757838.760727,2188.0,0.0,0.0
1693757839.240603,2226.0,0.04,3.90625
1693757839.721075,2230.0,0.69,7.8125
1693757840.200596,2248.0,0.77,0.78125
1693757840.710687,2264.0,0.725,3.90625
1693757841.190764,2282.0,0.1,1.5625
1693757841.701164,2288.0,0.835,1.5625
1693757842.181409,2326.0,0.145,2.34375
1693757842.661322,2339.0,0.835,3.90625
1693757843.141105,2348.0,0.855,-3.90625
1693757843.620877,2363.0,0.075,-2.34375
1693757844.101322,2376.0,0.72,0.0
1693757844.581519,2373.0,0.83,4.6875
1693757845.061332,2396.0,0.845,-0.78125
1693757845.574069,2404.0,0.505,-6.25
1693757846.051273,2410.0,0.885,-1.5625
1693757846.561225,2403.0,0.77,-7.8125
1693757847.071361,2402.0,0.06,-3.90625
1693757847.550853,2392.0,0.1,0.0
1693757848.031535,2391.0,0.795,2.34375
1693757848.511399,2385.0,0.495,-3.125
1693757848.991321,2379.0,0.07,3.125
1693757849.50127,2379.0,0.805,7.03125
1693757850.011365,2381.0,0.795,1.5625
1693757850.49135,2385.0,0.09,3.90625
1693757851.001292,2388.0,0.84,5.46875
1693757851.511287,2390.0,0.145,3.125
1693757851.991513,2405.0,0.125,8.59375
1693757852.471356,2445.0,0.225,9.375
1693757852.951124,2492.0,0.7,14.84375
1693757853.461023,2550.0,0.1,14.84375
1693757853.973433,2618.0,0.81,14.0625
1693757854.450953,2679.0,0.165,16.40625
1693757854.930896,2736.0,0.42,10.15625
1693757855.411084,2790.0,0.83,11.71875
1693757855.891908,2853.0,0.115,12.5
1693757856.371902,2908.0,0.575,7.8125
1693757856.88121,2966.0,0.825,9.375
1693757857.391285,3024.0,0.775,12.5
1693757857.871155,3080.0,0.36,3.90625
1693757858.351316,3138.0,0.82,5.46875
1693757858.861865,3197.0,0.34,7.8125
1693757859.340462,3251.0,0.4,0.0
1693757859.88031,3308.0,0.76,0.0
1693757860.360531,3366.0,0.83,4.6875
1693757860.870149,3414.0,0.17,3.125
1693757861.35121,3466.0,0.19,0.78125
1693757861.83114,3516.0,0.745,-2.34375
1693757862.310997,3566.0,0.815,4.6875
1693757862.821188,3580.0,0.935,-5.46875
1693757863.301079,3536.0,0.87,0.0
1693757863.811799,2866.0,0.0,0.0
1693757864.291593,2885.0,0.055,5.46875
1693757864.801656,2858.0,0.82,1.5625
1693757865.281418,2856.0,0.475,5.46875
1693757865.762528,2848.0,0.84,-2.34375
1693757866.241238,2860.0,0.055,-2.34375
1693757866.721401,2866.0,0.735,3.125
1693757867.231715,2882.0,0.115,0.0
1693757867.711779,2892.0,0.845,0.78125
1693757868.221904,2906.0,0.085,3.90625
1693757868.731969,2918.0,0.81,2.34375
1693757869.211804,2934.0,0.105,8.59375
1693757869.691894,2945.0,0.7,3.90625
1693757870.172163,2966.0,0.825,6.25
1693757870.651692,2975.0,0.64,7.8125
1693757871.132347,2979.0,0.855,-0.78125
1693757871.611759,2987.0,0.075,-2.34375
1693757872.092195,2983.0,0.83,3.90625
1693757872.661879,2990.0,0.745,-7.03125
1693757873.141733,2994.0,0.82,-3.90625
1693757873.65169,3005.0,0.15,-0.78125
1693757874.162019,3012.0,0.825,-7.8125
1693757874.642394,3010.0,0.11,-2.34375
1693757875.121868,3012.0,0.265,-3.90625
1693757875.601547,3011.0,0.845,-3.125
1693757876.08121,3010.0,0.115,-3.125
1693757876.591286,3014.0,0.615,-8.59375
1693757877.071283,3017.0,0.84,-4.6875
1693757877.551422,3021.0,0.115,-4.6875
1693757878.031818,3025.0,0.355,-9.375
1693757878.511235,3030.0,0.83,-7.8125
1693757878.991246,3027.0,0.165,-5.46875
1693757879.471314,3033.0,0.72,-11.71875
1693757879.951574,3038.0,0.85,-3.90625
1693757880.461935,3033.0,0.14,-5.46875
1693757880.941607,3039.0,0.77,-7.03125
1693757881.424078,3038.0,0.305,-2.34375
1693757881.901825,3036.0,0.515,-9.375
1693757882.381464,3035.0,0.84,-5.46875
1693757882.891344,3030.0,0.505,-3.125
1693757883.371345,3025.0,0.63,-10.9375
1693757883.911808,3017.0,0.39,-1.5625
1693757884.391402,3010.0,0.115,-2.34375
1693757884.871491,2999.0,0.77,-4.6875
1693757885.351741,2994.0,0.845,-2.34375
1693757885.831749,2989.0,0.125,-2.34375
1693757886.312231,2986.0,0.535,-7.8125
1693757886.79235,2980.0,0.83,-4.6875
1693757887.272089,2971.0,0.095,-2.34375
1693757887.782425,2975.0,0.19,-3.90625
1693757888.261516,2963.0,0.84,-2.34375
1693757888.742047,2954.0,0.12,-0.78125
1693757889.222237,2956.0,0.16,-1.5625
1693757889.701558,2953.0,0.325,4.6875
1693757890.181495,2952.0,0.135,1.5625
1693757890.661559,2954.0,0.805,0.0
1693757891.141786,2946.0,0.655,3.90625
1693757891.68321,2955.0,0.185,3.125
1693757892.161748,2947.0,0.17,0.78125
1693757892.642794,2957.0,0.805,0.0
1693757893.151534,2955.0,0.09,0.78125
1693757893.632277,2966.0,0.79,-1.5625
1693757894.082396,2960.0,0.855,-0.78125
1693757894.561639,2960.0,0.075,0.0
1693757895.041524,2954.0,0.825,0.0
