TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756669.194215,3888.0,32,0.07,0.78125
1693756669.914486,3970.0,41,0.22,1.5625
1693756670.664029,4056.0,46,0.12,3.125
1693756671.387319,4164.0,46,0.12,3.125
1693756672.103819,4278.0,46,0.115,4.6875
1693756672.824137,4420.0,45,0.13,4.6875
1693756673.513891,4507.0,45,0.755,4.6875
1693756674.264445,4593.0,33,0.085,0.78125
1693756674.986288,4667.0,41,0.105,2.34375
1693756675.704341,4711.0,42,0.16,2.34375
1693756676.45477,4777.0,42,0.795,3.125
1693756677.174283,4873.0,43,0.84,0.0
1693756677.894353,4947.0,43,0.76,-2.34375
1693756678.644747,5010.0,30,0.3,-3.125
1693756679.39433,5054.0,36,0.25,-3.125
1693756680.114016,4987.0,41,0.87,-5.46875
1693756680.894169,4624.0,22,0.0,0.0
1693756681.644435,3274.0,36,0.11,7.03125
1693756682.454466,3213.0,52,0.105,1.5625
1693756683.174975,3224.0,59,0.05,2.34375
1693756683.894134,3365.0,92,0.845,7.8125
1693756684.614064,3544.0,92,0.845,4.6875
1693756685.334569,3715.0,93,0.845,0.78125
1693756686.054748,3904.0,93,0.81,-0.78125
1693756686.804753,4081.0,93,0.655,-2.34375
1693756687.524549,4249.0,92,0.1,1.5625
1693756688.244006,4435.0,92,0.155,3.90625
1693756688.994578,4613.0,92,0.74,3.90625
1693756689.714226,4777.0,91,0.835,1.5625
1693756690.434382,4928.0,90,0.615,-1.5625
1693756691.154197,5074.0,90,0.115,3.125
1693756691.904839,5205.0,90,0.83,2.34375
1693756692.654235,5346.0,90,0.5,-0.78125
1693756693.375284,5482.0,90,0.14,4.6875
1693756694.124774,5614.0,91,0.83,2.34375
1693756694.844646,5730.0,91,0.635,-0.78125
1693756695.534265,5859.0,91,0.14,3.90625
1693756696.25417,5967.0,89,0.93,-0.78125
1693756696.974328,5626.0,25,0.0,0.0
1693756697.724895,4221.0,22,0.04,3.125
1693756698.444902,4242.0,92,0.855,6.25
1693756699.194837,4300.0,91,0.725,7.03125
1693756699.914908,4371.0,90,0.83,3.125
1693756700.634777,4440.0,90,0.47,-0.78125
1693756701.384823,4505.0,75,0.11,2.34375
1693756702.104879,4554.0,87,0.215,3.90625
1693756702.827637,4576.0,22,0.885,0.0
1693756703.574207,4496.0,21,0.0,0.0
1693756704.294412,4315.0,21,0.0,0.0
